0.051,0.5
0.102,1
0.153,1.5
0.204,2
0.255,2.5
0.306,3
0.357,3.5
0.408,4
0.459,4.5
0.51,5
0.561,5.5
0.612,6
0.663,6.5
0.714,7
0.765,7.5
0.816,8
0.867,8.5
0.918,9
0.969,9.5
1.02,10
1.071,10.5
1.122,11
1.173,11.5
1.224,12
1.275,12.5
1.326,13
1.377,13.5
1.428,14
1.479,14.5
1.53,15
1.581,15.5
1.632,16
1.683,16.5
1.734,17
1.785,17.5
1.835,18
1.886,18.5
1.937,19
1.988,19.5
2.039,20
2.09,20.5
2.141,21
2.192,21.5
2.243,22
2.294,22.5
2.345,23
2.396,23.5
2.447,24
2.498,24.5
2.549,25
2.6,25.5
2.651,26
2.702,26.5
2.753,27
2.804,27.5
2.855,28
2.906,28.5
2.957,29
3.008,29.5
3.059,30
